2018-01-03 09:36:09 startup archives unpack
2018-01-03 09:36:16 upgrade firefox:amd64 57.0.1+build2-0ubuntu0.14.04.1 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:16 status half-configured firefox:amd64 57.0.1+build2-0ubuntu0.14.04.1
2018-01-03 09:36:16 status unpacked firefox:amd64 57.0.1+build2-0ubuntu0.14.04.1
2018-01-03 09:36:16 status half-installed firefox:amd64 57.0.1+build2-0ubuntu0.14.04.1
2018-01-03 09:36:21 status triggers-pending hicolor-icon-theme:all 0.13-1
2018-01-03 09:36:21 status half-installed firefox:amd64 57.0.1+build2-0ubuntu0.14.04.1
2018-01-03 09:36:21 status triggers-pending desktop-file-utils:amd64 0.22-1ubuntu1.1
2018-01-03 09:36:21 status half-installed firefox:amd64 57.0.1+build2-0ubuntu0.14.04.1
2018-01-03 09:36:21 status triggers-pending gnome-menus:amd64 3.10.1-0ubuntu2
2018-01-03 09:36:21 status triggers-pending mime-support:all 3.54ubuntu1.1
2018-01-03 09:36:21 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2018-01-03 09:36:21 status half-installed firefox:amd64 57.0.1+build2-0ubuntu0.14.04.1
2018-01-03 09:36:21 status unpacked firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:21 status unpacked firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:21 trigproc hicolor-icon-theme:all 0.13-1 0.13-1
2018-01-03 09:36:21 status half-configured hicolor-icon-theme:all 0.13-1
2018-01-03 09:36:24 status installed hicolor-icon-theme:all 0.13-1
2018-01-03 09:36:24 trigproc desktop-file-utils:amd64 0.22-1ubuntu1.1 0.22-1ubuntu1.1
2018-01-03 09:36:24 status half-configured desktop-file-utils:amd64 0.22-1ubuntu1.1
2018-01-03 09:36:25 status installed desktop-file-utils:amd64 0.22-1ubuntu1.1
2018-01-03 09:36:25 trigproc gnome-menus:amd64 3.10.1-0ubuntu2 3.10.1-0ubuntu2
2018-01-03 09:36:25 status half-configured gnome-menus:amd64 3.10.1-0ubuntu2
2018-01-03 09:36:25 status installed gnome-menus:amd64 3.10.1-0ubuntu2
2018-01-03 09:36:25 trigproc mime-support:all 3.54ubuntu1.1 3.54ubuntu1.1
2018-01-03 09:36:25 status half-configured mime-support:all 3.54ubuntu1.1
2018-01-03 09:36:25 status installed mime-support:all 3.54ubuntu1.1
2018-01-03 09:36:25 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2018-01-03 09:36:25 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2018-01-03 09:36:26 status installed man-db:amd64 2.6.7.1-1ubuntu1
2018-01-03 09:36:26 startup packages configure
2018-01-03 09:36:26 configure firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1 <none>
2018-01-03 09:36:26 status unpacked firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:26 status unpacked firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:26 status unpacked firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:26 status unpacked firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:26 status unpacked firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:26 status half-configured firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:26 status installed firefox:amd64 57.0.3+build1-0ubuntu0.14.04.1
2018-01-03 09:36:44 startup archives unpack
2018-01-03 09:36:44 install libglibmm-2.4-1c2a:amd64 <none> 2.39.93-0ubuntu1
2018-01-03 09:36:44 status half-installed libglibmm-2.4-1c2a:amd64 2.39.93-0ubuntu1
